subjectNumber,Condition,AGE,TRAIT_DOM,HEIGHT,WEIGHT,BODY_FAT,GRIP_STRENGTH,CHEST_STRENGTH,DOM_IPIP,FACECON,Face_Data_Set,Morph_type,DOM_RATING,MEM,COM
1,1,18,13,171.75,66.45,14.5,72.5,80,30,1,1,1,3.9,.6,5
1,1,18,13,171.75,66.45,14.5,72.5,80,30,2,1,2,4.2,.4,5.5
1,1,18,13,171.75,66.45,14.5,72.5,80,30,3,2,1,4.1,.6,3.67
1,1,18,13,171.75,66.45,14.5,72.5,80,30,4,2,2,5,.8,4.5
2,1,19,14,172,81.06,17.7,90,85,28,1,1,1,1.7,.6,5.33
2,1,19,14,172,81.06,17.7,90,85,28,2,1,2,1.5,.4,6.25
2,1,19,14,172,81.06,17.7,90,85,28,3,2,1,1.9,.5,4.6
2,1,19,14,172,81.06,17.7,90,85,28,4,2,2,1.7,.6,6
3,1,18,16,175.2,68.63,17.1,83.5,75,21,1,1,1,3.5,.8,8
3,1,18,16,175.2,68.63,17.1,83.5,75,21,2,1,2,3.4,.9,9.33
3,1,18,16,175.2,68.63,17.1,83.5,75,21,3,2,1,2.7,.8,8.38
3,1,18,16,175.2,68.63,17.1,83.5,75,21,4,2,2,3.5,.6,5.33
4,1,18,11,179,87.36,19.9,112,85,29,1,1,1,3.2,.9,6
4,1,18,11,179,87.36,19.9,112,85,29,2,1,2,4.7,.1,6
4,1,18,11,179,87.36,19.9,112,85,29,3,2,1,2.8,.5,6
4,1,18,11,179,87.36,19.9,112,85,29,4,2,2,2.9,.5,5.8
5,1,20,22,180.75,67.18,10.6,130,120,43,1,1,1,3.7,.4,4
5,1,20,22,180.75,67.18,10.6,130,120,43,2,1,2,4.1,.8,5
5,1,20,22,180.75,67.18,10.6,130,120,43,3,2,1,4.7,.8,4.25
5,1,20,22,180.75,67.18,10.6,130,120,43,4,2,2,2,.8,4.63
8,1,18,12,171.4,86.23,28.4,90,39,29,1,1,1,4.2,.6,4.33
8,1,18,12,171.4,86.23,28.4,90,39,29,2,1,2,3.9,.3,4.33
8,1,18,12,171.4,86.23,28.4,90,39,29,3,2,1,3.3,.6,4
8,1,18,12,171.4,86.23,28.4,90,39,29,4,2,2,4.3,.4,4.5
9,1,20,19,184.25,69.17,11.15,83.5,55,44,1,1,1,3.4,.8,5
9,1,20,19,184.25,69.17,11.15,83.5,55,44,2,1,2,3,.4,5.25
9,1,20,19,184.25,69.17,11.15,83.5,55,44,3,2,1,3.9,.8,5.38
9,1,20,19,184.25,69.17,11.15,83.5,55,44,4,2,2,2.8,.8,4.75
10,1,22,17,179.85,85.64,20,115,120,38,1,1,1,3.5,.5,5.2
10,1,22,17,179.85,85.64,20,115,120,38,2,1,2,4.4,.8,7.5
10,1,22,17,179.85,85.64,20,115,120,38,3,2,1,3,.5,7.4
10,1,22,17,179.85,85.64,20,115,120,38,4,2,2,3.7,.3,7.67
11,1,18,13,171,63,13.45,50,50,36,1,1,1,4.1,.8,3.88
11,1,18,13,171,63,13.45,50,50,36,2,1,2,4.5,.5,3.2
11,1,18,13,171,63,13.45,50,50,36,3,2,1,3.7,.3,3.33
11,1,18,13,171,63,13.45,50,50,36,4,2,2,3.9,.6,5
12,1,18,24,182.5,79.61,17,185,85,48,1,1,1,2.3,.4,9
12,1,18,24,182.5,79.61,17,185,85,48,2,1,2,1,.7,8.86
12,1,18,24,182.5,79.61,17,185,85,48,3,2,1,1.7,.7,7.71
12,1,18,24,182.5,79.61,17,185,85,48,4,2,2,2.9,.4,6.25
16,1,19,11,183.35,72.53,14.55,92.5,55,27,1,1,1,3.9,.4,4.5
16,1,19,11,183.35,72.53,14.55,92.5,55,27,2,1,2,4.3,.8,5.75
16,1,19,11,183.35,72.53,14.55,92.5,55,27,3,2,1,4.3,.7,5
16,1,19,11,183.35,72.53,14.55,92.5,55,27,4,2,2,4.5,.8,7.13
17,1,19,10,185,73.19,8.75,85,67.5,29,1,1,1,2.6,.7,5.71
17,1,19,10,185,73.19,8.75,85,67.5,29,2,1,2,4.5,.7,4.71
17,1,19,10,185,73.19,8.75,85,67.5,29,3,2,1,2.7,.8,5.5
17,1,19,10,185,73.19,8.75,85,67.5,29,4,2,2,4.4,.7,5.43
18,1,20,10,181.95,74.25,13.35,115,80,26,1,1,1,3.4,.6,5
18,1,20,10,181.95,74.25,13.35,115,80,26,2,1,2,3.5,.4,6
18,1,20,10,181.95,74.25,13.35,115,80,26,3,2,1,2.8,.8,6
18,1,20,10,181.95,74.25,13.35,115,80,26,4,2,2,3.6,.7,6.29
19,1,19,10,181.6,92.08,25.75,87.5,80,34,1,1,1,4.6,.5,3.8
19,1,19,10,181.6,92.08,25.75,87.5,80,34,2,1,2,3.9,.8,7.13
19,1,19,10,181.6,92.08,25.75,87.5,80,34,3,2,1,3.7,.6,6.33
19,1,19,10,181.6,92.08,25.75,87.5,80,34,4,2,2,3.6,.5,7.2
20,1,21,6,171.75,73.94,18.6,89.5,80,15,1,1,1,4.1,.8,3.63
20,1,21,6,171.75,73.94,18.6,89.5,80,15,2,1,2,4.5,.5,4.4
20,1,21,6,171.75,73.94,18.6,89.5,80,15,3,2,1,3.8,.5,4
20,1,21,6,171.75,73.94,18.6,89.5,80,15,4,2,2,3.9,.6,4.67
21,1,19,8,177.45,62.32,9.85,73,66.5,35,1,1,1,4.1,.4,6.25
21,1,19,8,177.45,62.32,9.85,73,66.5,35,2,1,2,3.5,.7,7.71
21,1,19,8,177.45,62.32,9.85,73,66.5,35,3,2,1,3.6,.6,5
21,1,19,8,177.45,62.32,9.85,73,66.5,35,4,2,2,3.9,.3,7
22,1,19,14,176.1,75.98,16.95,110,85,35,1,1,1,1.9,.5,10
22,1,19,14,176.1,75.98,16.95,110,85,35,2,1,2,3.6,.4,7
22,1,19,14,176.1,75.98,16.95,110,85,35,3,2,1,1.6,.6,7
22,1,19,14,176.1,75.98,16.95,110,85,35,4,2,2,2.6,.6,5.17
23,1,20,20,179,68.04,11,91,78.5,44,1,1,1,2.5,.7,9.43
23,1,20,20,179,68.04,11,91,78.5,44,2,1,2,3.2,.6,6.83
23,1,20,20,179,68.04,11,91,78.5,44,3,2,1,3.2,.8,8.13
23,1,20,20,179,68.04,11,91,78.5,44,4,2,2,4.4,.6,8.17
24,1,22,14,172,55.79,10.55,75,61.5,30,1,1,1,3.3,.8,4.5
24,1,22,14,172,55.79,10.55,75,61.5,30,2,1,2,3.9,.8,3.63
24,1,22,14,172,55.79,10.55,75,61.5,30,3,2,1,3.4,.5,3.8
24,1,22,14,172,55.79,10.55,75,61.5,30,4,2,2,3,.6,4.33
25,1,20,16,171,60.51,9.25,73.5,60,40,1,1,1,2.3,.6,7.33
25,1,20,16,171,60.51,9.25,73.5,60,40,2,1,2,4.1,.6,3.33
25,1,20,16,171,60.51,9.25,73.5,60,40,3,2,1,4.2,.7,5.29
25,1,20,16,171,60.51,9.25,73.5,60,40,4,2,2,4.6,.3,7.67
26,1,22,17,172.5,65.73,14.1,95,65,24,1,1,1,3.3,.8,3.75
