subjectNumber,AGE,TRAIT_DOM,HEIGHT,WEIGHT,BODY_FAT,GRIP_STRENGTH,CHEST_STRENGTH,DOM_IPIP,FACECON,DOM_RATING,MEM,Face_Data_Set,Morph_type,CON_1,CON_2
1,18,13,171.75,66.45,14.5,72.5,80,30,1,3.9,.6,1,1,5,4.8
1,18,13,171.75,66.45,14.5,72.5,80,30,2,4.2,.4,1,2,5.5,5.56
1,18,13,171.75,66.45,14.5,72.5,80,30,3,4.1,.6,2,1,3.67,3.8
1,18,13,171.75,66.45,14.5,72.5,80,30,4,5,.8,2,2,4.5,4.4
2,19,14,172,81.06,17.7,90,85,28,1,1.7,.6,1,1,5.33,5.6
2,19,14,172,81.06,17.7,90,85,28,2,1.5,.4,1,2,6.25,5.3
2,19,14,172,81.06,17.7,90,85,28,3,1.9,.5,2,1,4.6,4.4
2,19,14,172,81.06,17.7,90,85,28,4,1.7,.6,2,2,6,5.6
3,18,16,175.2,68.63,17.1,83.5,75,21,1,3.5,.8,1,1,8,7.8
3,18,16,175.2,68.63,17.1,83.5,75,21,2,3.4,.9,1,2,9.33,9.4
3,18,16,175.2,68.63,17.1,83.5,75,21,3,2.7,.8,2,1,8.38,7.4
3,18,16,175.2,68.63,17.1,83.5,75,21,4,3.5,.6,2,2,5.33,6.6
4,18,11,179,87.36,19.9,112,85,29,1,3.2,.9,1,1,6,6.4
4,18,11,179,87.36,19.9,112,85,29,2,4.7,.1,1,2,6,6.3
4,18,11,179,87.36,19.9,112,85,29,3,2.8,.5,2,1,6,6
4,18,11,179,87.36,19.9,112,85,29,4,2.9,.5,2,2,5.8,6.22
5,20,22,180.75,67.18,10.6,130,120,43,1,3.7,.4,1,1,4,4.4
5,20,22,180.75,67.18,10.6,130,120,43,2,4.1,.8,1,2,5,4.9
5,20,22,180.75,67.18,10.6,130,120,43,3,4.7,.8,2,1,4.25,4.78
5,20,22,180.75,67.18,10.6,130,120,43,4,2,.8,2,2,4.63,5.22
8,18,12,171.4,86.23,28.4,90,39,29,1,4.2,.6,1,1,4.33,5
8,18,12,171.4,86.23,28.4,90,39,29,2,3.9,.3,1,2,4.33,5.1
8,18,12,171.4,86.23,28.4,90,39,29,3,3.3,.6,2,1,4,4.6
8,18,12,171.4,86.23,28.4,90,39,29,4,4.3,.4,2,2,4.5,4.8
9,20,19,184.25,69.17,11.15,83.5,55,44,1,3.4,.8,1,1,5,5.1
9,20,19,184.25,69.17,11.15,83.5,55,44,2,3,.4,1,2,5.25,4.22
9,20,19,184.25,69.17,11.15,83.5,55,44,3,3.9,.8,2,1,5.38,5.2
9,20,19,184.25,69.17,11.15,83.5,55,44,4,2.8,.8,2,2,4.75,4.2
10,22,17,179.85,85.64,20,115,120,38,1,3.5,.5,1,1,5.2,5.5
10,22,17,179.85,85.64,20,115,120,38,2,4.4,.8,1,2,7.5,6.8
10,22,17,179.85,85.64,20,115,120,38,3,3,.5,2,1,7.4,8.7
10,22,17,179.85,85.64,20,115,120,38,4,3.7,.3,2,2,7.67,7.4
11,18,13,171,63,13.45,50,50,36,1,4.1,.8,1,1,3.88,3.8
11,18,13,171,63,13.45,50,50,36,2,4.5,.5,1,2,3.2,3.5
11,18,13,171,63,13.45,50,50,36,3,3.7,.3,2,1,3.33,3.3
11,18,13,171,63,13.45,50,50,36,4,3.9,.6,2,2,5,4.1
12,18,24,182.5,79.61,17,185,85,48,1,2.3,.4,1,1,9,8.7
12,18,24,182.5,79.61,17,185,85,48,2,1,.7,1,2,8.86,7.9
12,18,24,182.5,79.61,17,185,85,48,3,1.7,.7,2,1,7.71,6.4
12,18,24,182.5,79.61,17,185,85,48,4,2.9,.4,2,2,6.25,6.4
16,19,11,183.35,72.53,14.55,92.5,55,27,1,3.9,.4,1,1,4.5,5.5
16,19,11,183.35,72.53,14.55,92.5,55,27,2,4.3,.8,1,2,5.75,5.7
16,19,11,183.35,72.53,14.55,92.5,55,27,3,4.3,.7,2,1,5,5
16,19,11,183.35,72.53,14.55,92.5,55,27,4,4.5,.8,2,2,7.13,6.6
17,19,10,185,73.19,8.75,85,67.5,29,1,2.6,.7,1,1,5.71,5.4
17,19,10,185,73.19,8.75,85,67.5,29,2,4.5,.7,1,2,4.71,4.8
17,19,10,185,73.19,8.75,85,67.5,29,3,2.7,.8,2,1,5.5,5.3
17,19,10,185,73.19,8.75,85,67.5,29,4,4.4,.7,2,2,5.43,5.5
18,20,10,181.95,74.25,13.35,115,80,26,1,3.4,.6,1,1,5,5
18,20,10,181.95,74.25,13.35,115,80,26,2,3.5,.4,1,2,6,6.9
18,20,10,181.95,74.25,13.35,115,80,26,3,2.8,.8,2,1,6,5.9
18,20,10,181.95,74.25,13.35,115,80,26,4,3.6,.7,2,2,6.29,5.4
19,19,10,181.6,92.08,25.75,87.5,80,34,1,4.6,.5,1,1,3.8,5.33
19,19,10,181.6,92.08,25.75,87.5,80,34,2,3.9,.8,1,2,7.13,6.4
19,19,10,181.6,92.08,25.75,87.5,80,34,3,3.7,.6,2,1,6.33,6.4
19,19,10,181.6,92.08,25.75,87.5,80,34,4,3.6,.5,2,2,7.2,6.5
20,21,6,171.75,73.94,18.6,89.5,80,15,1,4.1,.8,1,1,3.63,4.33
20,21,6,171.75,73.94,18.6,89.5,80,15,2,4.5,.5,1,2,4.4,4.6
20,21,6,171.75,73.94,18.6,89.5,80,15,3,3.8,.5,2,1,4,4.1
20,21,6,171.75,73.94,18.6,89.5,80,15,4,3.9,.6,2,2,4.67,4.5
21,19,8,177.45,62.32,9.85,73,66.5,35,1,4.1,.4,1,1,6.25,6.6
21,19,8,177.45,62.32,9.85,73,66.5,35,2,3.5,.7,1,2,7.71,6.3
21,19,8,177.45,62.32,9.85,73,66.5,35,3,3.6,.6,2,1,5,4.8
21,19,8,177.45,62.32,9.85,73,66.5,35,4,3.9,.3,2,2,7,6.4
22,19,14,176.1,75.98,16.95,110,85,35,1,1.9,.5,1,1,10,8.2
22,19,14,176.1,75.98,16.95,110,85,35,2,3.6,.4,1,2,7,6.9
